127.0.0.1 - - [12/Feb/2026:15:49:07 +0530] "GET / HTTP/1.1" 200 11237
127.0.0.1 - - [12/Feb/2026:16:21:16 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:21:18 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:21:22 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:22 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 781
127.0.0.1 - - [12/Feb/2026:16:21:36 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:36 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 752
127.0.0.1 - - [12/Feb/2026:16:21:47 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:47 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 768
127.0.0.1 - - [12/Feb/2026:16:21:47 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:21:58 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:58 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:58 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:24:48 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:24:48 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:24:49 +0530] "GET /lab4/logout.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:24:49 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
127.0.0.1 - - [12/Feb/2026:16:25:00 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:00 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:02 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:02 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 781
127.0.0.1 - - [12/Feb/2026:16:25:06 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:06 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 752
127.0.0.1 - - [12/Feb/2026:16:25:07 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:07 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 770
127.0.0.1 - - [12/Feb/2026:16:25:09 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:09 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:09 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:25:10 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:17 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 524
127.0.0.1 - - [12/Feb/2026:16:25:23 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:23 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:27 +0530] "GET /lab4/logout.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:27 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 524
127.0.0.1 - - [12/Feb/2026:16:25:38 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:25:38 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:43 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:43 +0530] "GET /lab4/style.css HTTP/1.1" 200 720
127.0.0.1 - - [12/Feb/2026:16:25:43 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [12/Feb/2026:16:25:45 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:25:45 +0530] "GET /lab4/style.css HTTP/1.1" 200 720
127.0.0.1 - - [12/Feb/2026:16:25:45 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [12/Feb/2026:16:26:08 +0530] "GET /lab4/logout.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:26:08 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 524
127.0.0.1 - - [12/Feb/2026:16:26:15 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:26:15 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:26:23 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:26:23 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:26:23 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:26:24 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:26:43 +0530] "GET /lab4/logout.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:26:43 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:28:55 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:28:55 +0530] "GET /lab4/style.css HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:28:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:29:04 +0530] "GET /lab4/forgetPassword.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:29:07 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:29:07 +0530] "GET /lab4/signup.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:29:40 +0530] "POST /lab4/signupProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:29:40 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:30:39 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:30:39 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:30:39 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:30:47 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:30:47 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 781
127.0.0.1 - - [12/Feb/2026:16:31:07 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
127.0.0.1 - - [12/Feb/2026:16:31:07 +0530] "GET /lab4/style.css HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:15 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:15 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:15 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:18 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:18 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:39 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:46 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:46 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:50 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:50 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:56 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:56 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:58 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:34:58 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:06 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:06 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:06 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:11 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:12 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:12 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:27 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:27 +0530] "GET /lab4/question.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:27 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:35:27 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:39:07 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:39:07 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:39:07 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:39:14 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:39:14 +0530] "GET /lab4/question.jsp HTTP/1.1" 500 2877
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:18 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:18 +0530] "GET /lab4/question.jsp HTTP/1.1" 500 8891
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:21 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:21 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:22 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:22 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:22 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:23 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:40:23 +0530] "GET /lab4/question.jsp HTTP/1.1" 500 8891
127.0.0.1 - - [12/Feb/2026:16:41:23 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:41:24 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:24 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1618
127.0.0.1 - - [12/Feb/2026:16:41:29 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:29 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1589
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "GET /lab4/question.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "GET /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:41:40 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:41:53 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:53 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1618
127.0.0.1 - - [12/Feb/2026:16:41:55 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:41:55 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1589
127.0.0.1 - - [12/Feb/2026:16:42:08 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:08 +0530] "GET /lab4/question.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:08 +0530] "GET /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:08 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:08 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:42:18 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:42:19 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:19 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1618
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/question.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/question.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:42:35 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:28 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:28 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:33 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:33 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:38 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:38 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:42 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:42 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:42 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:43 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:45 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:45:45 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:13 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:13 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:28 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:28 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:32 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:32 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:32 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:33 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:38 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:38 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:40 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:46:40 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:47:18 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:47:18 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:47:28 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:16 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:16 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:19 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:19 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:24 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:24 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:26 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:26 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:27 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:27 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:27 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:28 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:29 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:29 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:31 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:31 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:31 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:32 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:32 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:32 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:32 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:32 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:48:33 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:44 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:44 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:46 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:46 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:51 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:54 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2026:16:49:54 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
